Class Name,Class Stereotype,Method Name,Method Stereotype
"ApiAuthenticationMiddleware","entity boundary small-class","InvokeAsync","non-void-command collaborator"
"ApiAuthenticationMiddleware","entity boundary small-class","GetAuthenticationStatus","property non-void-command collaborator"
"HealthCheckResponse","empty","HealthCheckResponse","constructor"
"ParseTradeResult","empty","ParseTradeResult","constructor"
"StatusCodeResponse","empty","StatusCodeResponse","constructor"
"HistoryTarget","commander data-class small-class","HistoryTarget","constructor"
"HistoryTarget","commander data-class small-class","HistoryTarget","constructor"
"HistoryTarget","commander data-class small-class","set","set"
"SteamTarget","unclassified","WriteAsyncTask","non-void-command collaborator"
"SteamTarget","unclassified","SendGroupMessage","controller"
"SteamTarget","unclassified","SendPrivateMessage","controller"
"TypeResponse","empty","TypeResponse","constructor"
"ReleaseAsset","empty","ReleaseAsset","constructor"
"StorageController","boundary degenerate","StorageDelete","wrapper stateless"
"StorageController","boundary degenerate","StorageGet","wrapper stateless"
"StorageController","boundary degenerate","StoragePost","wrapper stateless"
"BotDatabase","commander","BotDatabase","constructor"
